external_id,occurred_at,municipality,latitude,longitude,surface_ha,cause
2025-7530,2025-01-16T18:57:00Z,Tournissan,43.08061776216622,2.664315552488323,0.0025,Involontaire (travaux)
2025-7559,2025-02-03T08:04:00Z,Jonquières,43.03942347687726,2.729124533961479,0.0015,Malveillance
2025-7560,2025-02-03T22:33:00Z,Berriac,43.21757304690698,2.412625402306194,0.2,Malveillance
2025-7578,2025-02-14T09:35:00Z,Ribaute,43.10721724784194,2.634954976256798,0.05,Involontaire (particulier)
2025-7589,2025-02-26T18:26:00Z,Carcassonne,43.21206195617653,2.35289992062672,0.0001,Involontaire (particulier)
2025-7715,2025-06-05T00:49:00+02:00,Conilhac-Corbières,43.18776735961749,2.71780320190464,0.002,Malveillance
2025-7716,2025-06-05T02:22:00+02:00,Fontcouverte,43.16854606811462,2.689882620471404,0.001,Malveillance
2025-7719,2025-06-05T16:40:00+02:00,Saint-Marcel-sur-Aude,43.24417330400635,2.924199585105352,3.07,Accidentelle
2025-7720,2025-06-05T16:53:00+02:00,Sallèles-d'Aude,43.257028944120016,2.945854811784983,6.944,Accidentelle
2025-7727,2025-06-09T16:24:00+02:00,Lézignan-Corbières,43.20054117592041,2.75782145958777,1.0376,Malveillance
2025-7739,2025-06-12T05:06:00+02:00,Canet,43.23025881667414,2.849024887069536,0.03,Malveillance
2025-7749,2025-06-15T21:26:00+02:00,Moux,43.179871824633445,2.652793743288919,0.0003,Malveillance
2025-7750,2025-06-15T23:57:00+02:00,Fontcouverte,43.16854606811462,2.689882620471404,0.0005,Malveillance
2025-7752,2025-06-16T07:13:00+02:00,Fontcouverte,43.16854606811462,2.689882620471404,0.04,Malveillance
2025-7755,2025-06-17T10:51:00+02:00,Ferrals-les-Corbières,43.147811912964414,2.72733791640843,1.0034,Involontaire (travaux)
2025-7758,2025-06-17T22:32:00+02:00,Tourouzelle,43.25397262526828,2.723716586773669,0.02,Malveillance
2025-7759,2025-06-17T22:32:00+02:00,Tourouzelle,43.25397262526828,2.723716586773669,0.1,Malveillance
2025-7760,2025-06-17T23:26:00+02:00,Puichéric,43.22703971928796,2.626781049907255,0.02,Malveillance
2025-7761,2025-06-18T12:36:00+02:00,La Palme,42.974349694897924,2.991966925805446,0.05,Accidentelle
2025-7763,2025-06-18T13:40:00+02:00,Tourouzelle,43.25397262526828,2.723716586773669,0.5943,
2025-7766,2025-06-18T23:38:00+02:00,Névian,43.21201697769804,2.904390650292648,0.05,Malveillance
2025-7767,2025-06-19T00:41:00+02:00,Saint-André-de-Roquelongue,43.11428944750724,2.837375813828927,0.06,Malveillance
2025-7768,2025-06-19T02:07:00+02:00,Fontcouverte,43.16854606811462,2.689882620471404,0.06,Malveillance
